Sector,Hour,WIN-WK,INT-WK,SUM-WK,WIN-WE,INT-WE,SUM-WE
Industry and services,1,0,0.01206,0.01212,0,0.00499186,0.00446099
Industry and services,2,0,0.01247,0.01265,0,0.004710495,0.004660838
Industry and services,3,0,0.0129,0.01295,0,0.005300372,0.005063869
Industry and services,4,0,0.01476,0.01426,0,0.006350701,0.005969026
Industry and services,5,0,0.01741,0.0161,0,0.007089096,0.006513877
Industry and services,6,0,0.02187,0.02036,0,0.006758265,0.006515208
Industry and services,7,0,0.023,0.02206,0,0.007176772,0.006633689
Industry and services,8,0,0.0237,0.02196,0,0.006858662,0.00656701
Industry and services,9,0,0.02156,0.02077,0,0.006178815,0.00605834
Industry and services,10,0,0.01973,0.01944,0,0.005802606,0.005861032
Industry and services,11,0,0.01844,0.01832,0,0.00564087,0.005778577
Industry and services,12,0,0.01699,0.01734,0,0.005221926,0.005194962
Industry and services,13,0,0.01623,0.01646,0,0.004334981,0.004795236
Industry and services,14,0,0.01493,0.01552,0,0.004375459,0.004778815
Industry and services,15,0,0.01457,0.01571,0,0.004210841,0.004820235
Industry and services,16,0,0.01417,0.01548,0,0.004381991,0.004746989
Industry and services,17,0,0.014,0.01487,0,0.004466668,0.005036499
Industry and services,18,0,0.01281,0.01356,0,0.004636431,0.004964024
Industry and services,19,0,0.01293,0.01347,0,0.004496487,0.004776367
Industry and services,20,0,0.01266,0.01376,0,0.004545904,0.004739202
Industry and services,21,0,0.01235,0.01279,0,0.004653434,0.004934875
Industry and services,22,0,0.01097,0.01175,0,0.004660431,0.004511017
Industry and services,23,0,0.0105,0.01104,0,0.004462447,0.004557943
Industry and services,24,0,0.01182,0.01167,0,0.004808558,0.004709836
Residential,1,0,0.0043,0.00664,0,0.00172,0.00266
Residential,2,0,0.0047,0.00699,0,0.00188,0.0028
Residential,3,0,0.00612,0.00761,0,0.00245,0.00304
Residential,4,0,0.01087,0.01067,0,0.00435,0.00427
Residential,5,0,0.01984,0.01867,0,0.00794,0.00747
Residential,6,0,0.02589,0.02402,0,0.01036,0.00961
Residential,7,0,0.02342,0.02159,0,0.00937,0.00864
Residential,8,0,0.02056,0.01979,0,0.00822,0.00791
Residential,9,0,0.01852,0.01875,0,0.00741,0.0075
Residential,10,0,0.01645,0.01684,0,0.00658,0.00674
Residential,11,0,0.01547,0.01633,0,0.00619,0.00653
Residential,12,0,0.01506,0.01573,0,0.00602,0.00629
Residential,13,0,0.01465,0.01543,0,0.00586,0.00617
Residential,14,0,0.01499,0.01559,0,0.006,0.00624
Residential,15,0,0.016,0.01605,0,0.0064,0.00642
Residential,16,0,0.01702,0.01683,0,0.00681,0.00673
Residential,17,0,0.01858,0.01769,0,0.00743,0.00707
Residential,18,0,0.01985,0.01835,0,0.00794,0.00733
Residential,19,0,0.02042,0.01867,0,0.00817,0.00747
Residential,20,0,0.01939,0.01782,0,0.00775,0.00712
Residential,21,0,0.01598,0.0151,0,0.00639,0.00604
Residential,22,0,0.00885,0.0095,0,0.00354,0.0038
Residential,23,0,0.00525,0.0069,0,0.0021,0.00275
Residential,24,0,0.00406,0.0065,0,0.00163,0.00259
