Metric,Value
total_electricity_imported-(ELECTRICITY),0.0
total_hydrogen_imported-(HYDROGEN),1593.6049978361568
total_solar_energy-(ELECTRICITY),6185.193300000001
total_heat_demand-(HEAT),35784.06908025582
total_electricity_end_demand-(HEAT),15000.0
total_hydrogen_exported-(HYDROGEN),10.0
total_eletricity_exported-(ELECTRICITY),15117.779688717097
total_heat_wasted-(ELECTRICITY),6.127032287611636
pv_input-(ELECTRICITY),6185.193300000001
pv_output-(ELECTRICITY),6185.193300000001
hp_input-(ELECTRICITY),3175.6272976572413
hp_output-(HEAT),12226.165095980377
electrolyser_input-(ELECTRICITY),0.0
electrolyser_output-(HYDROGEN),0.0
electrolyser_output-(HEAT),0.0
fuel_cell_input-(HYDROGEN),1402.414392357557
fuel_cell_output-(ELECTRICITY),27892.119069842425
fuel_cell_output-(HEAT),25994.857589593055
battery_input-(ELECTRICITY),9344.037342465039
battery_output-(ELECTRICITY),8560.13195899695
thermal_storage_input-(HEAT),6810.746557698342
thermal_storage_output-(HEAT),5267.36682693917
